Argument ID	URL
D01001	https://www.groupdiscussionideas.com/print-media-vs-digital-media/
D01002	https://www.groupdiscussionideas.com/print-media-vs-digital-media/
D01003	https://www.groupdiscussionideas.com/print-media-vs-digital-media/
D01004	https://www.groupdiscussionideas.com/print-media-vs-digital-media/
D01005	https://www.groupdiscussionideas.com/print-media-vs-digital-media/
D01006	https://www.groupdiscussionideas.com/print-media-vs-digital-media/
D01007	https://www.groupdiscussionideas.com/print-media-vs-digital-media/
D01008	https://www.groupdiscussionideas.com/print-media-vs-digital-media/
D01009	https://www.groupdiscussionideas.com/print-media-vs-digital-media/
D01010	https://www.groupdiscussionideas.com/print-media-vs-digital-media/
D01011	https://www.groupdiscussionideas.com/fit-india-movement/
D01012	https://www.groupdiscussionideas.com/fit-india-movement/
D01013	https://www.groupdiscussionideas.com/fit-india-movement/
D01014	https://www.groupdiscussionideas.com/fit-india-movement/
D01015	https://www.groupdiscussionideas.com/fit-india-movement/
D01016	https://www.groupdiscussionideas.com/fit-india-movement/
D01017	https://www.groupdiscussionideas.com/fit-india-movement/
D01018	https://www.groupdiscussionideas.com/bifurcation-of-jammu-kashmir/
D01019	https://www.groupdiscussionideas.com/bifurcation-of-jammu-kashmir/
D01020	https://www.groupdiscussionideas.com/bifurcation-of-jammu-kashmir/
D01021	https://www.groupdiscussionideas.com/bifurcation-of-jammu-kashmir/
D01022	https://www.groupdiscussionideas.com/bifurcation-of-jammu-kashmir/
D01023	https://www.groupdiscussionideas.com/bifurcation-of-jammu-kashmir/
D01024	https://www.groupdiscussionideas.com/bifurcation-of-jammu-kashmir/
D01025	https://www.groupdiscussionideas.com/bifurcation-of-jammu-kashmir/
D01026	https://www.groupdiscussionideas.com/is-technology-making-us-less-human/
D01027	https://www.groupdiscussionideas.com/is-technology-making-us-less-human/
D01028	https://www.groupdiscussionideas.com/is-technology-making-us-less-human/
D01029	https://www.groupdiscussionideas.com/is-technology-making-us-less-human/
D01030	https://www.groupdiscussionideas.com/is-technology-making-us-less-human/
D01031	https://www.groupdiscussionideas.com/is-technology-making-us-less-human/
D01032	https://www.groupdiscussionideas.com/is-technology-making-us-less-human/
D01033	https://www.groupdiscussionideas.com/is-technology-making-us-less-human/
D01034	https://www.groupdiscussionideas.com/is-technology-making-us-less-human/
D01035	https://www.groupdiscussionideas.com/uapa-amendment-bill-2019/
D01036	https://www.groupdiscussionideas.com/uapa-amendment-bill-2019/
D01037	https://www.groupdiscussionideas.com/uapa-amendment-bill-2019/
D01038	https://www.groupdiscussionideas.com/uapa-amendment-bill-2019/
D01039	https://www.groupdiscussionideas.com/uapa-amendment-bill-2019/
D01040	https://www.groupdiscussionideas.com/uapa-amendment-bill-2019/
D01041	https://www.groupdiscussionideas.com/uapa-amendment-bill-2019/
D01042	https://www.groupdiscussionideas.com/uapa-amendment-bill-2019/
D01043	https://www.groupdiscussionideas.com/zero-budget-natural-farming/
D01044	https://www.groupdiscussionideas.com/zero-budget-natural-farming/
D01045	https://www.groupdiscussionideas.com/zero-budget-natural-farming/
D01046	https://www.groupdiscussionideas.com/zero-budget-natural-farming/
D01047	https://www.groupdiscussionideas.com/zero-budget-natural-farming/
D01048	https://www.groupdiscussionideas.com/zero-budget-natural-farming/
D01049	https://www.groupdiscussionideas.com/zero-budget-natural-farming/
D01050	https://www.groupdiscussionideas.com/zero-budget-natural-farming/
D01051	https://www.groupdiscussionideas.com/data-localisation-benefits-challenges/
D01052	https://www.groupdiscussionideas.com/data-localisation-benefits-challenges/
D01053	https://www.groupdiscussionideas.com/data-localisation-benefits-challenges/
D01054	https://www.groupdiscussionideas.com/data-localisation-benefits-challenges/
D01055	https://www.groupdiscussionideas.com/data-localisation-benefits-challenges/
D01056	https://www.groupdiscussionideas.com/data-localisation-benefits-challenges/
D01057	https://www.groupdiscussionideas.com/data-localisation-benefits-challenges/
D01058	https://www.groupdiscussionideas.com/data-localisation-benefits-challenges/
D01059	https://www.groupdiscussionideas.com/data-localisation-benefits-challenges/
D01060	https://www.groupdiscussionideas.com/data-localisation-benefits-challenges/
D01061	https://www.groupdiscussionideas.com/data-localisation-benefits-challenges/
D01062	https://www.groupdiscussionideas.com/referendums-strengthen-democracy/
D01063	https://www.groupdiscussionideas.com/referendums-strengthen-democracy/
D01064	https://www.groupdiscussionideas.com/referendums-strengthen-democracy/
D01065	https://www.groupdiscussionideas.com/referendums-strengthen-democracy/
D01066	https://www.groupdiscussionideas.com/referendums-strengthen-democracy/
D01067	https://www.groupdiscussionideas.com/referendums-strengthen-democracy/
D01068	https://www.groupdiscussionideas.com/referendums-strengthen-democracy/
D01069	https://www.groupdiscussionideas.com/electric-vehicles-in-india/
D01070	https://www.groupdiscussionideas.com/electric-vehicles-in-india/
D01071	https://www.groupdiscussionideas.com/electric-vehicles-in-india/
D01072	https://www.groupdiscussionideas.com/should-cricket-be-the-national-game-of-india/
D01073	https://www.groupdiscussionideas.com/should-cricket-be-the-national-game-of-india/
D01074	https://www.groupdiscussionideas.com/should-cricket-be-the-national-game-of-india/
D01075	https://www.groupdiscussionideas.com/should-cricket-be-the-national-game-of-india/
D01076	https://www.groupdiscussionideas.com/should-political-parties-be-brought-under-rti-act/
D01077	https://www.groupdiscussionideas.com/should-political-parties-be-brought-under-rti-act/
D01078	https://www.groupdiscussionideas.com/should-political-parties-be-brought-under-rti-act/
D01079	https://www.groupdiscussionideas.com/should-political-parties-be-brought-under-rti-act/
D01080	https://www.groupdiscussionideas.com/should-political-parties-be-brought-under-rti-act/
D01081	https://www.groupdiscussionideas.com/should-political-parties-be-brought-under-rti-act/
D01082	https://www.groupdiscussionideas.com/should-political-parties-be-brought-under-rti-act/
D01083	https://www.groupdiscussionideas.com/should-political-parties-be-brought-under-rti-act/
D01084	https://www.groupdiscussionideas.com/should-political-parties-be-brought-under-rti-act/
D01085	https://www.groupdiscussionideas.com/should-political-parties-be-brought-under-rti-act/
D01086	https://www.groupdiscussionideas.com/consumerism-and-middle-class/
D01087	https://www.groupdiscussionideas.com/consumerism-and-middle-class/
D01088	https://www.groupdiscussionideas.com/consumerism-and-middle-class/
D01089	https://www.groupdiscussionideas.com/impact-of-crony-capitalism-on-india/
D01090	https://www.groupdiscussionideas.com/impact-of-crony-capitalism-on-india/
D01091	https://www.groupdiscussionideas.com/impact-of-crony-capitalism-on-india/
D01092	https://www.groupdiscussionideas.com/impact-of-crony-capitalism-on-india/
D01093	https://www.groupdiscussionideas.com/higher-education-in-india/
D01094	https://www.groupdiscussionideas.com/higher-education-in-india/
D01095	https://www.groupdiscussionideas.com/higher-education-in-india/
D01096	https://www.groupdiscussionideas.com/higher-education-in-india/
D01097	https://www.groupdiscussionideas.com/higher-education-in-india/
D01098	https://www.groupdiscussionideas.com/is-nuclear-disarmament-mandatory-to-achieve-world-peace/
D01099	https://www.groupdiscussionideas.com/is-nuclear-disarmament-mandatory-to-achieve-world-peace/
D01100	https://www.groupdiscussionideas.com/is-nuclear-disarmament-mandatory-to-achieve-world-peace/
D01101	https://www.groupdiscussionideas.com/is-nuclear-disarmament-mandatory-to-achieve-world-peace/
D01102	https://www.groupdiscussionideas.com/should-non-it-students-be-allowed-for-it-jobs/
D01103	https://www.groupdiscussionideas.com/should-non-it-students-be-allowed-for-it-jobs/
D01104	https://www.groupdiscussionideas.com/should-non-it-students-be-allowed-for-it-jobs/
D01105	https://www.groupdiscussionideas.com/should-non-it-students-be-allowed-for-it-jobs/
D01106	https://www.groupdiscussionideas.com/should-non-it-students-be-allowed-for-it-jobs/
D01107	https://www.groupdiscussionideas.com/should-non-it-students-be-allowed-for-it-jobs/
D01108	https://www.groupdiscussionideas.com/should-non-it-students-be-allowed-for-it-jobs/
D01109	https://www.groupdiscussionideas.com/should-non-it-students-be-allowed-for-it-jobs/
D01110	https://www.groupdiscussionideas.com/should-non-it-students-be-allowed-for-it-jobs/
D01111	https://www.groupdiscussionideas.com/fixed-pay-vs-variable-pay/
D01112	https://www.groupdiscussionideas.com/fixed-pay-vs-variable-pay/
D01113	https://www.groupdiscussionideas.com/fixed-pay-vs-variable-pay/
D01114	https://www.groupdiscussionideas.com/fixed-pay-vs-variable-pay/
D01115	https://www.groupdiscussionideas.com/fixed-pay-vs-variable-pay/
D01116	https://www.groupdiscussionideas.com/fixed-pay-vs-variable-pay/
D01117	https://www.groupdiscussionideas.com/does-india-need-national-commission-for-men/
D01118	https://www.groupdiscussionideas.com/does-india-need-national-commission-for-men/
